Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
701 E Pike St,Car Fire,08/12/2012 02:54:00 AM +0000,47.61407,-122.323397,"(47.61407, -122.323397)",F120075254
106 22nd Av,Car Fire,08/13/2012 08:31:00 PM +0000,47.601773,-122.303738,"(47.601773, -122.303738)",F120075836
2821 2nd Av,Car Fire W/Exp.,08/13/2012 09:54:00 PM +0000,47.617134,-122.350886,"(47.617134, -122.350886)",F120075868
2400 11th Av Sw,Car Fire,08/14/2012 07:04:00 PM +0000,47.584507,-122.349705,"(47.584507, -122.349705)",F120076162
3rd Av Ne / Ne 100th St,Car Fire,08/14/2012 09:13:00 PM +0000,47.701344,-122.325814,"(47.701344, -122.325814)",F120076220
East Marginal Way S / S Spokane St,Car Fire,08/14/2012 07:00:00 PM +0000,47.571328,-122.339668,"(47.571328, -122.339668)",F120076158
620 S INDUSTRIAL WAY,Car Fire,08/15/2012 10:20:00 PM +0000,47.566305,-122.325547,"(47.566305, -122.325547)",F120076623
2nd Av / Yesler Way,Car Fire,08/15/2012 11:59:00 PM +0000,47.601719,-122.331984,"(47.601719, -122.331984)",F120076657
9063 3rd Av Sw,Car Fire,08/17/2012 11:43:00 PM +0000,47.522261,-122.338931,"(47.522261, -122.338931)",F120077492
9525 17th Av Ne,Car Fire,08/18/2012 12:56:00 AM +0000,47.697819,-122.309454,"(47.697819, -122.309454)",F120077510
Olson Pl Sw / Sw Roxbury St,Car Fire,08/18/2012 06:36:00 PM +0000,47.517273,-122.340131,"(47.517273, -122.340131)",F120077763
9427 Olson Pl Sw,Car Fire,08/18/2012 06:36:00 PM +0000,47.518997,-122.339147,"(47.518997, -122.339147)",F120077764
Nb I5 At Boylston,Car Fire Freeway,08/19/2012 01:01:00 AM +0000,47.632258,-122.324055,"(47.632258, -122.324055)",F120077891
7th Av Ne / Ne 45th St,Car Fire,08/19/2012 06:09:00 AM +0000,47.661319,-122.320728,"(47.661319, -122.320728)",F120077985
Nb I5 At Mid Boeing Field,Car Fire Freeway,08/20/2012 12:53:00 AM +0000,47.542027,-122.303649,"(47.542027, -122.303649)",F120078217
Nb I5 At Mid Boeing Field,Car Fire Freeway,08/20/2012 12:53:00 AM +0000,47.542027,-122.303649,"(47.542027, -122.303649)",F120078217
3919 18th Av W,Car Fire,08/20/2012 03:44:00 AM +0000,47.655244,-122.379982,"(47.655244, -122.379982)",F120078274
77 Yesler Way,Car Fire,08/21/2012 11:08:00 PM +0000,47.601722,-122.335406,"(47.601722, -122.335406)",F120078894
38th Av S / Beacon Av S,Car Fire,08/21/2012 10:31:00 PM +0000,47.522908,-122.284939,"(47.522908, -122.284939)",F120078878
